mse,psnr,ssim,lpips,time,model,lambda,delta
0.05113825631245373, 12.912540844205543, 0.53961116, 0.5442994832992554, 88.3554859161377, nnL1, 0.0001, 0
0.02315975209472948, 16.35266093669439, 0.7531151, 0.39944660663604736, 73.08196783065796, nnL1, 0.0001, 0
0.13877497990367113, 8.576888268872953, 0.42324314, 0.6612363457679749, 73.82335257530212, nnL1, 0.0001, 0
0.3315019082869717, 4.7951396724075765, 0.4932101, 0.7059579491615295, 74.88017344474792, nnL1, 0.0001, 0
0.012206890732765353, 19.133949428989496, 0.58101183, 0.3328193426132202, 131.2227761745453, nnL1, 0.0001, 0
0.06562494625709114, 11.829310392470658, 0.53695816, 0.5825799703598022, 83.75336790084839, nnL1, 0.0001, 0
0.11504881533934437, 9.391178489139342, 0.49177352, 0.5805224776268005, 77.3313136100769, nnL1, 0.0001, 0
0.029383599657848068, 15.318950017459334, 0.6876035, 0.29566487669944763, 87.13846755027771, nnL1, 0.0001, 0
0.01907187650091683, 17.196065741852433, 0.7006414, 0.4528340697288513, 54.917277336120605, nnL1, 0.0001, 0
0.026296733475403785, 15.800981953016231, 0.61999965, 0.7018604278564453, 87.47683691978455, nnL1, 0.0001, 0
0.1843590480057485, 7.34335543153927, 0.43989304, 0.7443510293960571, 94.56174635887146, nnL1, 0.0001, 0
0.06295900633051726, 12.009421349783862, 0.51126766, 0.6687663197517395, 88.88962197303772, nnL1, 0.0001, 0
0.23411227593084377, 6.305758130045923, 0.5053853, 0.6253388524055481, 65.14813470840454, nnL1, 0.0001, 0
0.11119170154810563, 9.539276237822744, 0.36681125, 0.7863460779190063, 80.54382681846619, nnL1, 0.0001, 0
0.030292596860752936, 15.186634947769843, 0.44597098, 0.7289737462997437, 73.79348516464233, nnL1, 0.0001, 0
0.046064464181486756, 13.366339761538493, 0.39071915, 0.7791335582733154, 68.50919914245605, nnL1, 0.0001, 0
0.07967274197526623, 10.986902361263118, 0.5675438, 0.5680029392242432, 89.5557849407196, nnL1, 0.0001, 0
0.00799286746128437, 20.972973884951642, 0.58715796, 0.4322966933250427, 125.773366689682, nnL1, 0.0001, 0
