mse,psnr,ssim,lpips,lambda
5.68E-02,1.25E+01,5.27E-01,5.19E-01,9.00E-02
1.05E-01,9.79E+00,4.15E-01,5.36E-01,7.00E-01
2.50E-01,6.02E+00,4.14E-01,6.93E-01,5.00E+00
2.50E-01,6.02E+00,4.14E-01,6.94E-01,2.00E+00
2.50E-01,6.02E+00,4.15E-01,6.96E-01,9.00E+00
2.50E-01,6.03E+00,4.15E-01,7.09E-01,6.00E+00
2.49E-01,6.04E+00,4.14E-01,7.28E-01,3.00E+00
2.47E-01,6.07E+00,4.12E-01,7.35E-01,1.00E-04
2.46E-01,6.08E+00,4.07E-01,7.36E-01,8.00E-04
2.39E-01,6.22E+00,4.00E-01,7.25E-01,5.00E-03
2.40E-01,6.20E+00,3.85E-01,7.13E-01,2.00E-02
2.38E-01,6.23E+00,4.05E-01,7.07E-01,9.00E-02
2.77E-01,5.57E+00,4.35E-01,6.64E-01,7.00E-01
2.54E-02,1.59E+01,5.04E-01,5.36E-01,5.00E+00
2.54E-02,1.60E+01,5.04E-01,5.36E-01,2.00E+00
2.54E-02,1.59E+01,5.07E-01,5.35E-01,9.00E+00
2.54E-02,1.59E+01,5.19E-01,5.36E-01,6.00E+00
2.56E-02,1.59E+01,5.40E-01,5.61E-01,3.00E+00
2.62E-02,1.58E+01,5.47E-01,6.02E-01,1.00E-04
2.94E-02,1.53E+01,5.37E-01,6.71E-01,8.00E-04
4.62E-02,1.34E+01,4.91E-01,6.97E-01,5.00E-03
8.46E-02,1.07E+01,4.33E-01,7.08E-01,2.00E-02
1.26E-01,9.01E+00,4.04E-01,7.16E-01,9.00E-02
1.47E-01,8.32E+00,4.18E-01,7.31E-01,7.00E-01
1.05E-01,9.79E+00,1.77E-01,7.56E-01,5.00E+00
1.05E-01,9.79E+00,1.77E-01,7.57E-01,2.00E+00
1.04E-01,9.81E+00,1.77E-01,7.60E-01,9.00E+00
1.02E-01,9.90E+00,1.77E-01,7.84E-01,6.00E+00
9.88E-02,1.01E+01,1.68E-01,8.59E-01,3.00E+00
9.73E-02,1.01E+01,1.48E-01,9.38E-01,1.00E-04
9.86E-02,1.01E+01,1.18E-01,10.4E-01,8.00E-04
1.05E-01,9.78E+00,1.08E-01,10.3E-01,5.00E-03
1.09E-01,9.64E+00,1.07E-01,10.00E-01,2.00E-02
1.14E-01,9.43E+00,1.04E-01,9.92E-01,9.00E-02
1.09E-01,9.63E+00,1.17E-01,9.92E-01,7.00E-01
2.22E-01,6.53E+00,3.18E-01,6.09E-01,5.00E+00
2.22E-01,6.54E+00,3.19E-01,6.09E-01,2.00E+00
2.22E-01,6.55E+00,3.19E-01,6.09E-01,9.00E+00
2.18E-01,6.62E+00,3.23E-01,6.14E-01,6.00E+00
2.10E-01,6.79E+00,3.30E-01,6.30E-01,3.00E+00
2.01E-01,6.97E+00,3.35E-01,6.54E-01,1.00E-04
1.87E-01,7.28E+00,3.42E-01,7.08E-01,8.00E-04
1.95E-01,7.10E+00,3.61E-01,7.85E-01,5.00E-03
2.12E-01,6.74E+00,3.84E-01,8.36E-01,2.00E-02
2.20E-01,6.58E+00,3.77E-01,8.15E-01,9.00E-02
2.17E-01,6.64E+00,3.87E-01,8.09E-01,7.00E-01
6.27E-02,1.20E+01,4.50E-01,4.74E-01,5.00E+00
6.27E-02,1.20E+01,4.50E-01,4.75E-01,2.00E+00
6.27E-02,1.20E+01,4.50E-01,4.78E-01,9.00E+00
6.27E-02,1.20E+01,4.52E-01,4.97E-01,6.00E+00
6.28E-02,1.20E+01,4.53E-01,5.25E-01,3.00E+00
6.30E-02,1.20E+01,4.50E-01,5.35E-01,1.00E-04
6.42E-02,1.19E+01,4.46E-01,5.32E-01,8.00E-04
6.71E-02,1.17E+01,4.42E-01,5.40E-01,5.00E-03
7.43E-02,1.13E+01,4.41E-01,5.56E-01,2.00E-02
9.51E-02,1.02E+01,4.58E-01,5.35E-01,9.00E-02
8.88E-02,1.05E+01,5.08E-01,5.02E-01,7.00E-01
